period;reporterDesc;flowDesc;partnerDesc;classificationSearchCode;cmdCode;cmdDesc;primaryValue
2019;Russian Federation;Import;Czechia;S4;3;Mineral fuels, lubricants and related materials;1241400,78
2019;Russian Federation;Import;Denmark;S4;3;Mineral fuels, lubricants and related materials;164248,58
2019;Russian Federation;Import;Ecuador;S4;3;Mineral fuels, lubricants and related materials;1267,14
2019;Russian Federation;Import;Estonia;S4;3;Mineral fuels, lubricants and related materials;845118,16
2019;Russian Federation;Import;Finland;S4;3;Mineral fuels, lubricants and related materials;173174819,2
2019;Russian Federation;Import;France;S4;3;Mineral fuels, lubricants and related materials;30575223,05
2019;Russian Federation;Import;Georgia;S4;3;Mineral fuels, lubricants and related materials;959723,21
2019;Russian Federation;Import;Germany;S4;3;Mineral fuels, lubricants and related materials;111932953,7
2019;Russian Federation;Import;Greece;S4;3;Mineral fuels, lubricants and related materials;51732,39
2019;Russian Federation;Import;Indonesia;S4;3;Mineral fuels, lubricants and related materials;150461,71
2019;Russian Federation;Import;Iran;S4;3;Mineral fuels, lubricants and related materials;681674,32
2019;Russian Federation;Import;Ireland;S4;3;Mineral fuels, lubricants and related materials;610514,72
2019;Russian Federation;Import;Israel;S4;3;Mineral fuels, lubricants and related materials;1401600,11
2019;Russian Federation;Import;Italy;S4;3;Mineral fuels, lubricants and related materials;14533051,89
2019;Russian Federation;Import;Japan;S4;3;Mineral fuels, lubricants and related materials;123456919,6
2019;Russian Federation;Import;Kazakhstan;S4;3;Mineral fuels, lubricants and related materials;446278906
2019;Russian Federation;Import;Rep. of Korea;S4;3;Mineral fuels, lubricants and related materials;90114353,64
2019;Russian Federation;Import;Kyrgyzstan;S4;3;Mineral fuels, lubricants and related materials;340372
2019;Russian Federation;Import;Latvia;S4;3;Mineral fuels, lubricants and related materials;699587,69
2019;Russian Federation;Import;Malaysia;S4;3;Mineral fuels, lubricants and related materials;6995184,23
2019;Russian Federation;Import;Mongolia;S4;3;Mineral fuels, lubricants and related materials;373163,98
2019;Russian Federation;Import;Netherlands;S4;3;Mineral fuels, lubricants and related materials;38306144,8
2019;Russian Federation;Import;New Zealand;S4;3;Mineral fuels, lubricants and related materials;320,03
2019;Russian Federation;Import;Norway;S4;3;Mineral fuels, lubricants and related materials;412056,7
2019;Russian Federation;Import;Poland;S4;3;Mineral fuels, lubricants and related materials;35170937,49
